,0
1556,BD00080550
1557,BD00080551
1558,BD00080552
1559,BD00080553
1560,BD00080554
1561,BD00080555
1562,BD00080556
1563,BD00080557
1564,BD00080558
1565,BD00080559
1566,BD00080560
1567,BD00080561
1568,BD00080562
1569,BD00080563
1570,BD00080564
1571,BD00080565
1572,BD00080566
1573,BD00080567
1574,BD00080568
1575,BD00080569
1576,BD00080570
1577,BD00080571
1578,BD00080572
1579,BD00080573
1580,BD00080574
1581,BD00080575
1582,BD00080576
1583,BD00080577
1584,BD00080578
1585,BD00080579
1586,BD00080580
1587,BD00080581
1588,BD00080582
1589,BD00080583
1590,BD00080584
1591,BD00080585
1592,BD00080586
1593,BD00080587
1594,BD00080588
1595,BD00080589
1596,BD00080590
1597,BD00080591
1598,BD00080592
1599,BD00080593
1600,BD00080594
1601,BD00080595
1602,BD00080596
1603,BD00080597
1604,BD00080598
1605,BD00080599
1606,BD00080600
1607,BD00080601
1608,BD00080602
1609,BD00080603
1610,BD00080604
1611,BD00080605
1612,BD00080606
1613,BD00080607
1614,BD00080608
1615,BD00080609
1616,BD00080610
1617,BD00080611
1618,BD00080612
1619,BD00080613
1620,BD00080614
1621,BD00080615
1622,BD00080616
1623,BD00080617
1624,BD00080618
1625,BD00080619
1626,BD00080620
1627,BD00080621
1628,BD00080622
1629,BD00080623
1630,BD00080624
1631,BD00080625
1632,BD00080626
1633,BD00080627
1634,BD00080628
1635,BD00080629
1636,BD00080630
1637,BD00080631
1638,BD00080632
1639,BD00080633
1640,BD00080634
1641,BD00080635
1642,BD00080636
1643,BD00080637
1644,BD00080638
1645,BD00080639
1646,BD00080640
1647,BD00080641
1648,BD00080642
1649,BD00080643
1650,BD00080644
1651,BD00080645
1652,BD00080646
1653,BD00080647
1654,BD00080648
1655,BD00080649
1656,CYTEK00008289
1657,CYTEK00008290
1658,CYTEK00008291
1659,CYTEK00008292
1660,CYTEK00008293
1661,CYTEK00008294
